Id_client,Total_amount,Gender,Age,Count_city,Response_communcation,Communication_3month,Tenure
185143,17954,F,32,1,0,1,12
185151,2116,M,85,1,1,1,10
185152,10494,F,54,1,1,1,11
185156,1288,F,18,1,1,1,10
185161,501,M,34,1,0,0,5
185169,2882,F,36,1,1,1,9
185173,4853,F,36,2,1,1,8
185174,5181,F,54,1,1,1,8
185177,6672,M,63,1,0,1,9
185179,4615,F,51,1,1,1,8
185182,4497,F,37,1,0,1,11
185184,8342,M,32,1,1,1,12
185185,4088,F,28,1,1,1,11
185188,6293,M,65,1,0,1,9
185192,8705,F,49,1,0,1,12
185196,3996,F,46,1,1,1,11
185198,15333,,,1,1,1,10
185202,9281,,,1,1,1,9
185203,3673,M,27,1,1,1,11
185205,656,F,27,1,1,1,5
185209,4225,M,43,1,1,1,9
185210,1229,M,31,2,1,1,6
185213,2769,M,39,1,1,1,10
185214,1696,F,50,1,1,1,8
185217,941,M,67,1,0,1,11
185224,2394,F,46,1,1,1,10
185225,271,F,79,1,1,1,5
185228,4154,F,24,1,1,1,8
185233,4223,M,36,1,1,1,10
185243,1611,M,50,1,1,1,6
185244,3485,F,55,1,1,1,11
185256,7025,F,27,1,1,1,9
185257,5534,F,39,1,1,1,12
185259,3917,F,35,1,1,1,11
185262,1811,F,78,1,1,1,8
185268,11510,M,37,1,1,1,11
185270,5009,M,25,1,1,1,10
185277,9622,M,33,1,0,1,11
185279,4887,M,24,1,0,1,9
185281,4975,F,22,1,0,1,11
185282,7963,M,24,2,1,1,11
185286,2874,F,18,1,1,1,10
185288,1038,F,15,1,1,1,8
185289,3485,F,24,1,0,1,12
185294,2550,M,19,1,1,1,10
185297,14762,M,37,1,0,1,12
185302,14974,F,37,1,0,1,12
185305,3686,F,70,1,1,1,11
185322,6401,M,1,1,1,1,11
185329,4520,F,19,1,1,1,10
185331,2497,F,23,1,1,1,6
185332,6640,M,25,1,0,1,12
185333,9807,M,53,1,0,1,12
185342,5913,F,59,1,1,1,12
185343,3468,F,57,1,1,1,10
185344,3494,F,19,1,1,1,8
185345,6163,F,31,1,0,1,9
185346,4990,F,42,1,1,1,12
185347,3337,M,19,1,1,1,12
185348,3123,F,25,1,1,1,11
185355,4611,F,29,2,1,1,5
185362,4059,F,40,1,0,1,11
185364,9514,F,24,1,0,1,11
185369,14661,F,34,1,0,1,11
185374,7001,F,39,1,1,1,11
185375,6094,M,25,1,1,1,8
185381,5617,F,23,1,1,1,11
185385,3892,M,23,2,1,1,9
185386,3705,F,55,1,0,1,11
185389,3780,M,21,1,1,1,6
185390,3377,M,1,1,1,1,5
185393,11694,M,19,1,0,1,12
185395,4876,F,34,1,1,1,12
185397,2230,F,37,1,1,1,8
185399,18312,M,50,1,1,1,12
185402,15101,F,25,2,0,1,11
185405,19728,F,57,1,1,1,11
185417,20591,F,38,1,0,1,12
185418,534,F,31,1,1,1,4
185419,1038,M,33,1,1,1,9
185420,2742,F,38,1,1,1,9
185423,1626,M,27,1,1,1,3
185425,5217,,,1,1,1,6
185428,4843,M,43,1,1,1,6
185432,9895,F,47,1,0,1,12
185435,7036,F,27,1,0,1,7
185436,2773,M,27,1,1,1,8
185441,1339,F,11,1,1,1,6
185451,14369,M,29,1,0,1,12
185452,1562,F,28,1,1,1,11
185453,1044,M,62,1,1,1,4
185454,1561,F,36,1,1,1,9
185458,651,M,35,1,1,1,9
185459,3495,F,15,1,1,1,11
185460,5719,F,52,1,0,1,11
185461,4074,F,49,1,1,1,9
185465,1634,F,24,1,1,1,10
185466,4389,F,49,1,1,1,8
185467,16494,F,22,1,1,1,9
185477,221,M,35,1,1,1,7
185484,6249,F,20,1,0,1,11
185486,6402,F,46,1,1,1,12
185487,161,F,20,1,1,1,6
185489,12837,F,25,1,0,1,9
185493,4696,F,25,1,0,1,9
185494,3535,M,29,1,1,1,9
185495,14316,F,42,1,0,1,10
185501,19154,F,36,1,1,1,11
185503,12765,M,31,1,1,1,12
185509,4148,F,18,1,1,1,8
185514,12191,F,36,1,0,1,12
185515,2761,M,19,1,1,1,11
185521,5147,F,28,1,1,1,8
185525,7119,M,25,1,1,1,6
185527,13245,M,27,1,0,1,12
185529,19374,F,34,1,0,1,12
185530,1039,M,36,1,0,1,6
185531,4953,F,55,1,1,1,7
185535,7104,F,26,1,1,1,11
185536,1825,M,23,1,1,1,6
185537,2089,F,24,1,1,1,8
186649,5170,F,34,1,1,1,11
186656,3954,M,71,1,1,1,12
186677,576,F,20,1,1,1,2
186680,5358,F,35,1,1,1,7
186709,2450,F,59,1,1,1,9
186738,5039,M,68,2,1,1,11
186739,2601,F,59,1,1,1,12
186740,2619,F,18,1,1,1,8
186744,4111,F,27,1,0,1,12
186762,13954,F,32,2,1,1,12
186793,3589,F,38,1,1,1,9
186838,2593,M,26,1,1,1,10
186874,186,M,30,1,1,1,4
186878,1388,F,27,1,1,1,11
186886,564,M,27,1,1,1,7
186913,746,M,25,1,1,1,10
186935,578,M,31,1,1,1,3
186936,1551,F,51,1,1,1,9
186949,1100,F,21,1,1,1,6
186970,431,F,51,1,1,1,8
186971,7340,M,25,1,1,1,11
186972,799,F,53,1,1,1,8
186978,4622,F,30,1,0,1,11
186979,378,F,19,1,1,1,6
186980,3843,F,61,1,0,1,10
186982,4932,F,39,1,0,1,10
186983,266,F,25,1,1,1,7
186984,401,F,28,1,1,1,3
186985,2394,F,65,1,1,1,9
186988,3626,M,30,2,0,1,9
186989,142,M,26,1,1,1,5
186990,1338,F,64,1,0,1,10
186991,3247,F,51,1,0,1,9
186999,1092,M,25,1,1,1,9
187016,1058,F,43,1,1,1,10
187017,5833,F,50,1,0,1,10
187035,10134,F,55,1,1,1,9
187053,12456,F,28,1,0,1,11
187148,2698,F,40,1,1,1,9
187157,247,F,28,1,1,1,5
187249,12128,F,28,1,1,1,10
187253,3372,F,28,1,1,1,9
192896,3782,F,24,1,1,1,10
193013,5781,M,30,1,1,1,9
193017,11701,F,35,1,0,1,11
193019,9242,F,36,1,0,1,12
193024,748,F,32,1,1,1,2
193028,4150,F,62,1,1,1,7
193029,8674,M,60,1,0,1,11
193031,2504,M,63,1,1,1,7
193050,2126,F,21,1,1,1,10
193051,5139,M,24,1,1,1,10
193057,1361,F,35,1,1,1,9
193059,13428,F,40,1,1,1,11
193061,7643,F,59,1,0,1,11
193062,9165,F,34,1,1,1,11
193064,3176,F,52,1,0,1,12
193065,3332,M,55,1,1,1,9
193066,12988,F,38,1,1,1,9
193067,2663,F,66,1,1,1,12
193070,2668,F,63,1,1,1,10
193071,2669,F,40,1,1,1,8
193078,3580,F,23,1,1,1,7
193081,709,M,60,1,1,1,6
193082,4171,F,43,1,0,1,11
193085,4846,M,1,1,1,1,9
193087,6783,M,37,1,1,1,9
193091,6899,M,68,1,1,1,8
193101,1427,F,79,1,1,1,9
193103,2266,F,17,1,1,1,9
193104,2240,F,34,1,1,1,9
193109,2761,F,54,1,1,1,8
193111,895,F,53,1,1,1,8
193114,929,F,58,1,1,1,8
193116,195,M,21,1,1,1,2
193117,187,F,21,1,1,1,2
193118,157,M,28,1,0,1,7
193122,1308,F,21,1,1,1,6
193128,5409,F,45,1,0,1,6
193131,1460,F,35,1,1,1,9
193139,2815,M,22,1,1,1,5
193140,985,F,43,1,1,1,6
193142,13739,F,36,1,0,1,11
193144,3087,M,29,1,0,1,10
193147,3975,F,41,1,0,1,10
193152,598,M,48,1,1,1,4
193153,2063,M,32,1,1,1,7
193155,5137,M,29,1,1,1,12
193162,1169,M,23,1,1,1,8
193163,2697,M,29,1,1,1,5
193165,226,F,56,1,1,1,5
193169,1252,F,29,1,1,1,7
193172,81,F,34,1,1,1,4
193175,467,M,49,1,1,1,4
193177,179,F,48,1,1,1,5
193178,442,F,39,1,1,1,6
193179,245,F,32,1,1,1,6
193180,938,M,20,1,1,1,4
193185,1890,F,38,1,0,1,10
193207,2773,F,24,1,0,1,7
193211,775,F,39,1,1,1,5
193226,475,F,30,1,1,1,6
193231,1294,F,25,1,1,1,7
193232,1443,M,28,1,0,1,11
193238,661,F,27,1,1,1,9
193250,15,,,1,1,1,3
193256,2917,F,45,1,1,1,3
193266,1017,M,61,1,1,1,5
193285,1060,F,34,1,1,1,6
193290,629,M,24,1,1,1,5
193291,7003,F,54,1,1,1,12
193292,3687,M,35,1,1,1,9
193347,4170,F,43,1,1,1,11
193359,3319,F,28,1,1,1,8
193363,7559,M,35,1,1,1,9
193371,427,F,22,1,1,1,2
193373,2320,F,42,1,1,1,9
193379,3260,F,77,1,1,1,10
193383,935,F,55,1,0,1,7
193393,5450,F,67,1,0,1,12
193395,2741,F,60,1,1,1,8
193399,2051,F,60,1,1,1,7
193645,5396,M,38,1,0,1,12
193649,1458,F,38,1,1,1,7
193650,11424,M,51,1,0,1,9
193665,12835,M,47,2,0,1,10
193674,3454,M,56,1,0,1,7
193680,1633,M,66,1,1,1,9
193688,1284,F,27,1,0,1,5
193689,3484,F,45,1,0,1,9
193691,3056,M,30,1,1,1,8
193692,977,M,54,1,1,1,8
193697,1378,F,38,1,1,1,7
193699,6135,M,29,2,1,1,9
193701,4763,M,27,2,1,1,9
193703,5152,F,26,1,0,1,9
193707,1565,M,38,1,1,1,4
193708,6333,M,49,1,1,1,8
193711,2524,M,23,1,0,1,7
193717,906,M,23,2,1,1,4
193721,4746,M,31,2,0,1,9
193722,930,M,29,1,1,1,6
193723,2069,M,32,1,1,1,5
193727,3437,F,22,1,0,1,5
193729,761,F,32,1,1,1,7
193732,1679,M,23,1,0,1,9
193734,184,F,43,1,1,1,3
193735,1312,F,33,1,0,1,8
193736,4155,F,25,2,0,1,9
193741,2990,F,27,1,0,1,9
193743,5236,F,47,1,0,1,8
193745,1330,F,40,2,1,1,7
193747,2571,F,50,1,0,1,8
193754,2317,M,26,1,1,1,8
193758,462,M,26,1,0,1,8
193759,1838,F,23,1,0,1,4
193760,388,F,41,1,1,1,8
193761,3468,F,34,2,1,1,6
193762,595,M,29,1,1,1,5
193765,1166,F,27,1,1,1,8
193766,1503,M,25,1,0,1,11
193770,757,F,19,1,1,1,11
193771,2717,M,33,2,0,1,9
193773,186,M,23,1,1,1,3
193774,671,M,39,1,1,1,8
193776,854,F,42,1,1,1,8
193778,943,F,19,1,1,1,8
193781,368,F,42,1,1,1,3
193786,1508,F,23,1,1,1,9
193790,708,M,21,1,1,1,7
193797,90,M,43,1,1,1,4
193803,2139,F,19,1,0,1,5
193805,5732,F,24,1,0,1,9
193810,3558,F,42,1,0,1,8
193813,4249,F,32,1,0,1,7
193814,3078,F,22,2,0,1,5
193815,585,F,54,1,1,1,8
193816,7143,F,25,1,0,1,10
193820,1952,F,37,1,1,1,8
193828,7058,M,31,1,1,1,9
193832,4310,F,44,1,0,1,7
193835,1007,F,35,1,1,1,9
193837,626,F,21,1,1,1,7
193843,148,M,40,1,1,1,10
193844,3974,F,33,1,0,1,10
193846,1083,M,63,1,0,1,7
193850,597,F,19,1,1,1,5
193857,853,M,55,1,1,1,5
193860,861,F,37,1,1,1,5
193862,239,F,37,1,1,1,3
193868,1448,M,44,1,0,1,9
193871,652,F,51,1,1,1,9
194417,508,F,73,1,1,1,4
194428,2230,F,45,1,1,1,12
194445,12392,F,28,1,1,1,12
194452,4264,F,65,2,1,1,9
194454,11625,F,32,1,0,1,10
194455,8684,M,61,1,1,1,10
194462,8261,M,33,1,1,1,8
194464,12288,F,47,1,1,1,10
194466,3868,,,1,0,1,12
194469,12885,F,61,1,1,1,8
194470,13629,M,47,1,0,1,12
194471,1012,M,21,1,1,1,6
194475,13541,F,42,1,1,1,12
194477,10924,F,40,1,0,1,9
194485,4113,F,54,1,1,1,5
194486,12845,F,31,1,1,1,9
194487,2233,M,30,1,1,1,10
194488,2410,F,68,1,1,1,8
194493,2380,M,60,1,1,1,10
194494,5035,F,20,1,1,1,11
194498,5020,F,75,1,1,1,6
194504,702,M,29,1,1,1,6
194506,5264,F,33,1,0,1,12
194508,10368,F,68,1,0,1,12
194510,5521,F,37,1,0,1,10
194512,5050,F,37,1,0,1,12
194513,5899,F,63,1,0,1,11
194515,1004,F,17,1,1,1,11
194518,5253,M,15,1,1,1,9
194521,1315,F,31,1,1,1,7
194522,3217,F,48,1,1,1,8
194523,4504,M,48,1,1,1,9
194525,4617,F,51,1,0,1,11
194526,2113,F,42,1,1,1,8
194527,2547,F,22,1,1,1,7
194528,19516,F,23,1,1,1,12
194535,11165,F,66,1,1,1,10
194539,1257,M,23,2,1,1,2
194540,15313,M,70,1,0,1,12
194541,2197,F,55,1,0,1,10
194545,795,M,19,1,1,1,6
194550,1073,F,57,1,1,1,7
194551,14351,F,41,1,0,1,12
194552,1825,F,46,1,1,1,8
194555,5585,M,43,1,1,1,11
194561,10469,F,50,2,0,1,12
194563,1134,F,39,1,1,1,8
194567,1349,F,48,1,1,1,6
194571,3459,M,64,1,1,1,4
194572,22611,M,38,1,0,1,12
194576,2140,F,24,2,1,1,10
194577,8608,F,53,1,1,1,12
194588,6564,F,37,1,1,1,8
194591,4815,F,48,1,1,1,12
194601,2236,F,25,1,1,1,3
194611,11740,F,31,1,0,1,12
194615,815,F,33,2,1,1,7
194617,8056,F,33,2,1,1,10
194618,6662,F,59,2,1,1,9
194619,6154,F,38,1,1,1,12
194620,2526,M,26,1,1,1,9
194627,3033,M,44,1,1,1,11
194634,1659,F,33,1,1,1,5
194635,6764,F,26,1,1,1,10
194637,5978,M,55,1,0,1,7
194639,4368,M,29,1,1,1,7
194644,15567,M,29,1,0,1,11
194652,516,F,37,1,1,1,9
194655,634,F,26,1,1,1,7
194657,3579,F,20,2,1,1,12
194658,1554,F,40,1,1,1,7
194659,12709,M,45,1,0,1,11
194664,14360,F,39,1,0,1,12
194666,6124,M,28,1,0,1,12
194667,1265,F,24,1,1,1,8
194668,7589,M,26,1,0,1,10
194673,1856,F,32,1,1,1,8
194675,8349,F,26,1,1,1,9
194685,7809,F,37,1,1,1,12
194687,9947,M,22,1,1,1,9
194688,8074,M,55,1,0,1,11
194690,11409,M,46,1,1,1,12
194691,7565,M,22,1,1,1,8
194692,10233,F,31,1,1,1,8
194693,9963,M,32,2,0,1,11
194696,6184,M,25,1,1,1,10
194697,7276,F,68,1,1,1,12
194699,15697,F,27,1,0,1,12
194706,13194,F,37,1,0,1,11
194710,3484,F,61,1,1,1,10
194711,2751,M,26,1,1,1,8
194720,3926,M,21,1,0,1,12
194721,4330,F,21,1,0,1,12
194724,10681,F,20,1,0,1,11
194727,5501,M,37,1,1,1,7
194731,3971,F,25,1,1,1,10
194732,3163,M,8,1,1,1,8
194735,1768,F,53,1,1,1,12
194737,8690,F,78,1,1,1,12
194738,1173,F,41,1,1,1,9
194739,982,F,57,1,1,1,9
194740,1435,F,38,1,1,1,12
194741,7802,F,70,1,1,1,11
194743,10655,M,21,1,0,1,12
194744,1848,F,47,1,0,1,4
194755,1824,M,31,1,1,1,4
194756,1968,F,38,1,1,1,8
194758,2753,F,51,1,1,1,7
194759,2617,F,28,1,1,1,9
194760,15798,M,39,1,0,1,12
194761,7889,F,30,1,0,1,12
194775,2857,F,25,1,1,1,12
194776,852,M,28,1,1,1,8
194780,6819,M,26,1,1,1,10
194782,3834,F,64,1,0,1,7
194784,10908,M,31,1,0,1,12
194786,8474,M,39,1,0,1,9
194790,4924,F,28,1,0,1,5
194792,2229,M,22,1,1,1,7
194793,601,F,21,1,1,1,5
194799,4924,F,40,1,1,1,11
194800,5608,M,28,1,1,1,6
194801,2047,M,24,1,0,1,4
194803,7201,F,32,1,1,1,12
194804,2573,F,69,1,0,1,10
194805,6315,M,24,1,1,1,10
194809,5229,M,62,1,0,1,11
194810,4210,F,63,1,0,1,11
194813,5026,F,47,1,0,1,12
194814,6826,M,66,1,0,1,12
194815,4693,F,60,1,1,1,10
194816,7827,F,58,1,0,1,12
194818,2402,M,55,1,1,1,12
194822,4398,F,66,1,1,1,10
194829,8966,F,56,1,1,1,11
194830,4749,M,23,2,1,1,10
194837,2729,F,49,2,1,1,10
194839,8078,M,59,2,1,1,8
194843,3895,F,42,2,1,1,11
194846,3490,F,24,1,1,1,7
194849,4976,F,45,1,1,1,12
194850,2686,M,46,1,1,1,10
194851,4652,M,19,1,1,1,10
194856,1535,F,23,1,1,1,9
194858,18929,F,32,1,0,1,12
194859,5387,F,33,1,1,1,10
194861,14953,M,24,1,0,1,12
194863,2596,F,22,1,1,1,9
194864,770,M,21,1,1,1,5
194866,4954,F,37,1,0,1,12
194868,3122,M,34,1,1,1,9
194871,5959,,,1,1,1,9
194875,1296,F,72,1,0,1,5
194878,3001,,,1,1,1,11
194880,4152,F,34,1,1,1,9
194883,3778,F,54,1,1,1,5
194885,3179,F,33,1,1,1,12
194886,3309,F,67,1,1,1,12
194887,4461,F,57,1,1,1,10
194892,4145,F,65,1,1,1,12
194893,2416,F,71,1,1,1,11
194894,1227,F,33,1,0,1,8
194895,13661,,,1,1,1,12
194898,5255,F,36,1,1,1,6
194901,7867,F,59,1,1,1,9
194905,92,,55,1,1,1,7
194906,160,,55,2,1,1,7
194911,6407,,55,2,0,1,8
194915,9842,F,25,1,0,1,11
194916,6908,F,57,1,1,1,9
194917,145,,55,1,1,1,8
194921,3879,F,57,1,1,1,9
194923,4607,F,47,1,1,1,12
194926,1534,M,23,1,1,1,10
194928,16761,F,34,1,1,1,11
194929,2505,M,32,1,1,1,3
194930,2782,F,59,1,1,1,3
194934,3893,M,67,1,1,1,10
194937,22142,F,40,1,0,1,12
194939,9165,F,28,1,1,1,12
194944,3904,F,32,1,0,1,5
194947,3191,F,58,1,1,1,7
194948,12884,M,33,1,1,1,11
194950,1420,,,1,1,1,11
194953,1646,F,26,1,1,1,4
194954,685,,55,1,1,1,3
194955,1611,,55,1,1,1,9
194958,2005,M,29,1,0,1,9
194966,1097,F,48,1,1,1,8
194967,1205,F,51,1,1,1,9
194970,4190,M,42,2,0,1,12
194972,3219,,55,1,0,1,9
194973,1610,,55,1,1,1,4
194975,434,,55,1,1,1,9
194978,4166,F,26,1,0,1,7
194979,3601,,55,1,0,1,12
194980,3040,,55,1,0,1,9
194982,274,F,61,1,1,1,9
194983,1718,,55,1,1,1,7
194984,706,F,52,1,1,1,10
194985,2455,F,48,1,0,1,10
194988,12885,,55,1,0,1,12
194992,926,F,64,1,0,1,8
194994,8565,,55,1,1,1,6
194995,9836,,55,1,1,1,10
194996,565,,55,1,1,1,9
194998,1343,,55,1,1,1,9
199503,4424,F,42,1,0,1,10
199505,1372,M,46,1,1,1,9
199516,3262,F,30,1,1,1,12
199534,379,M,32,2,1,1,4
199540,18466,F,51,1,1,1,11
199544,4301,F,75,1,1,1,9
199550,2505,F,51,1,1,1,5
199551,13136,F,45,1,0,1,12
199554,2949,F,19,3,1,1,11
199558,7914,F,21,1,1,1,12
199602,6536,F,36,1,1,1,11
199606,5455,M,35,1,1,1,10
199614,9298,F,23,1,0,1,12
199615,8621,M,38,1,1,1,11
199618,1932,F,29,1,1,1,8
199619,7440,M,51,1,0,1,12
199620,16133,M,44,1,0,1,12
199622,2066,F,33,1,0,1,11
199635,17377,F,50,1,0,1,12
199637,1597,F,38,1,0,1,3
199644,6481,M,48,1,0,1,11
199654,4769,F,56,1,1,1,12
199664,8457,F,36,1,0,1,12
199691,1685,F,59,1,1,1,8
199700,8723,F,67,1,1,1,12
199702,2313,F,50,1,1,1,11
199704,471,F,24,1,1,1,3
199706,9674,F,40,1,0,1,12
199708,4616,F,36,1,1,1,12
199710,3390,M,38,1,0,1,12
199711,1422,F,61,1,1,1,7
199712,4172,F,45,1,1,1,9
199714,5208,,,1,1,1,9
199715,1766,M,65,1,1,1,10
199720,8531,F,31,1,0,1,12
199729,6336,F,42,1,1,1,9
199732,19851,M,35,1,1,1,12
199738,5986,F,35,1,1,1,7
199739,8166,M,34,1,1,1,5
199744,5684,F,53,1,1,1,9
199746,11673,F,23,1,1,1,12
199749,5368,F,43,2,1,1,8
199752,6089,F,65,1,1,1,7
199755,348,F,33,1,1,1,4
199757,6369,M,57,1,0,1,12
199759,17246,F,55,1,0,1,12
199761,1849,F,76,1,1,1,10
199763,1998,F,40,1,1,1,12
199765,4766,M,29,1,1,1,12
199767,3914,F,39,1,1,1,11
199773,4386,F,43,1,0,1,12
199775,3465,F,41,1,1,1,12
199787,3874,F,33,1,1,1,7
199793,6060,F,41,1,1,1,12
199796,1908,F,71,1,1,1,10
199798,11442,F,36,1,0,1,12
199800,5130,F,25,1,1,1,9
199802,8576,F,20,1,1,1,11
199803,2653,F,28,1,1,1,7
199805,8029,F,24,1,0,1,12
199809,7482,F,36,1,0,1,12
199813,1806,F,72,1,1,1,10
199818,2090,M,28,1,1,1,5
199822,3277,F,68,1,1,1,11
199831,9505,F,35,2,1,1,6
199839,11380,F,21,2,1,1,12
199849,5788,F,11,1,1,1,6
199851,1103,F,29,2,1,1,7
199855,4040,F,23,1,1,1,8
199860,2859,F,39,1,1,1,9
199861,1771,F,77,1,1,1,7
199864,5263,F,29,1,1,1,11
199868,1479,F,22,1,1,1,5
199871,10177,F,40,1,1,1,12
199874,2839,F,30,1,1,1,10
199876,5800,,29,1,1,1,10
199879,1070,M,32,1,1,1,7
199883,9635,F,29,1,1,1,11
199886,4924,F,64,1,1,1,10
199888,1936,F,35,1,1,1,12
199890,8672,F,44,1,1,1,11
199891,2488,F,64,1,0,1,5
199893,1067,F,27,1,1,1,6
199898,9907,M,65,1,1,1,11
199905,4374,F,39,1,1,1,12
199907,12378,F,42,1,0,1,12
199910,8411,F,38,1,1,1,11
199913,10813,M,32,1,0,1,12
199914,9307,F,32,1,0,1,12
199916,9296,F,47,1,1,1,12
199918,1658,F,55,1,1,1,10
199920,7431,F,62,1,0,1,12
199921,949,M,66,1,1,1,5
199937,2265,F,30,1,0,1,5
199946,2313,M,29,1,0,1,7
199954,2984,F,21,1,1,1,7
199965,2158,M,25,1,0,1,11
199969,4516,F,35,1,0,1,9
199994,12899,M,35,1,0,1,10
200006,7672,F,32,1,0,1,11
200014,12184,M,32,1,0,1,11
200020,3453,F,31,1,0,1,12
200025,12129,F,29,1,1,1,11
200032,2925,F,60,1,1,1,11
200042,1060,F,34,1,1,1,4
200056,925,M,46,1,1,1,8
200058,19880,F,45,1,0,1,12
200060,11329,F,16,1,1,1,11
200668,5100,M,37,1,1,1,12
200669,3348,F,67,1,1,1,8
200676,1863,F,38,1,1,1,5
200681,3423,F,21,1,1,1,6
200702,5004,M,45,1,1,1,8
200713,5522,M,26,2,0,1,12
200721,2463,F,77,1,1,1,4
200746,1163,F,49,1,1,1,10
200747,8332,F,29,1,0,1,12
200754,6218,F,29,1,0,1,12
200755,6886,F,67,2,0,1,12
200768,5537,F,72,1,1,1,12
200791,1876,F,29,1,1,1,11
200796,12367,F,47,1,1,1,11
200811,6142,F,63,1,1,1,11
200822,595,F,47,1,1,1,4
200824,3769,F,57,1,1,1,11
200841,5022,F,65,1,1,1,11
200858,2153,F,72,1,1,1,12
200860,1194,F,23,1,1,1,5
200867,3249,F,49,1,1,1,11
200908,2219,F,31,1,1,1,8
200917,3256,F,37,1,1,1,12
200918,1637,M,52,1,1,1,9
200923,9718,F,66,1,1,1,12
200933,2112,F,41,1,1,1,4
200943,927,F,37,1,1,1,7
200951,3900,F,54,1,1,1,11
200955,3068,M,33,1,1,1,5
200965,7395,F,44,1,1,1,12
200974,2287,F,54,1,1,1,8
200982,6878,F,43,1,0,1,12
200983,7925,M,54,1,1,1,12
200986,5388,F,21,2,1,1,10
200993,1326,F,38,1,1,1,12
200997,11194,F,34,1,0,1,12
201000,11902,F,44,1,0,1,12
201032,17224,M,58,1,1,1,12
201033,2203,M,23,1,1,1,7
201037,2645,F,55,1,1,1,9
201054,9262,F,24,1,1,1,11
201072,5170,F,69,1,1,1,12
201087,932,F,46,1,1,1,6
201107,8049,F,43,1,0,1,11
201153,6640,M,32,1,1,1,8
201187,3038,M,32,1,1,1,9
201271,6996,F,18,1,1,1,11
201273,13012,F,59,1,0,1,12
201957,4145,F,61,1,1,1,9
202005,2792,F,88,1,1,1,10
202010,19462,F,33,1,1,1,12
202013,4396,F,23,1,1,1,10
202024,2780,M,29,1,1,1,7
202026,7499,M,49,1,0,1,12
202029,15724,F,57,1,0,1,12
202030,6235,F,67,1,1,1,11
202033,2066,F,60,1,1,1,7
202035,3867,,,1,1,1,11
202047,8501,F,49,1,1,1,12
202050,3848,F,38,1,1,1,9
202055,7387,F,39,1,1,1,10
202063,4580,F,16,1,1,1,10
202072,3023,F,65,1,1,1,11
202074,6138,F,19,1,1,1,10
202085,7932,F,60,1,0,1,12
202090,6146,F,55,2,0,1,12
202093,2134,F,42,1,1,1,11
202099,4763,F,64,1,0,1,11
202104,2594,M,36,1,1,1,6
202117,9921,M,28,1,0,1,12
202122,14520,M,33,2,1,1,5
202125,7487,F,55,2,1,1,12
202131,8772,F,72,1,1,1,12
202134,13245,F,73,1,0,1,11
202138,3147,M,29,1,1,1,12
202151,943,F,25,1,1,1,5
202153,1248,F,63,1,1,1,11
202164,1344,F,26,1,1,1,7
202170,18585,F,40,2,1,1,12
